id,calendar_date,week_day,holiday
47353,9/22/2019,Sunday,0
47354,9/23/2019,Monday,0
47355,9/24/2019,Tuesday,0
47356,9/25/2019,Wednesday,0
47357,9/26/2019,Thursday,0
47358,9/27/2019,Friday,0
47359,9/28/2019,Saturday,0
47360,9/29/2019,Sunday,0
47361,9/30/2019,Monday,0
47362,10/1/2019,Tuesday,0
47363,10/2/2019,Wednesday,0
47364,10/3/2019,Thursday,0
47365,10/4/2019,Friday,0
47366,10/5/2019,Saturday,0
47367,10/6/2019,Sunday,0
47368,10/7/2019,Monday,0
47369,10/8/2019,Tuesday,0
47370,10/9/2019,Wednesday,0
47371,10/10/2019,Thursday,0
47372,10/11/2019,Friday,0
47373,10/12/2019,Saturday,1
47374,10/13/2019,Sunday,0
47375,10/14/2019,Monday,0
47376,10/15/2019,Tuesday,0
47377,10/16/2019,Wednesday,0
47378,10/17/2019,Thursday,0
47379,10/18/2019,Friday,0
47380,10/19/2019,Saturday,0
47381,10/20/2019,Sunday,0
47382,10/21/2019,Monday,0
47383,10/22/2019,Tuesday,0
47384,10/23/2019,Wednesday,0
47385,10/24/2019,Thursday,0
47386,10/25/2019,Friday,0
47387,10/26/2019,Saturday,0
47388,10/27/2019,Sunday,0
47389,10/28/2019,Monday,0
47390,10/29/2019,Tuesday,0
47391,10/30/2019,Wednesday,0
47392,10/31/2019,Thursday,0
47393,11/1/2019,Friday,0
47394,11/2/2019,Saturday,1
47395,11/3/2019,Sunday,0
47396,11/4/2019,Monday,0
47397,11/5/2019,Tuesday,0
47398,11/6/2019,Wednesday,0
47399,11/7/2019,Thursday,0
47400,11/8/2019,Friday,0
47401,11/9/2019,Saturday,0
47402,11/10/2019,Sunday,0
47403,11/11/2019,Monday,0
47404,11/12/2019,Tuesday,0
47405,11/13/2019,Wednesday,0
47406,11/14/2019,Thursday,0
47407,11/15/2019,Friday,1
47408,11/16/2019,Saturday,0
47409,11/17/2019,Sunday,0
47410,11/18/2019,Monday,0
47411,11/19/2019,Tuesday,0
47412,11/20/2019,Wednesday,0
47413,11/21/2019,Thursday,0
47414,11/22/2019,Friday,0
47415,11/23/2019,Saturday,0
47416,11/24/2019,Sunday,0
47417,11/25/2019,Monday,0
47418,11/26/2019,Tuesday,0
47419,11/27/2019,Wednesday,0
47420,11/28/2019,Thursday,0
47421,11/29/2019,Friday,0
47422,11/30/2019,Saturday,0
47423,12/1/2019,Sunday,0
47424,12/2/2019,Monday,0
47425,12/3/2019,Tuesday,0
47426,12/4/2019,Wednesday,0
47427,12/5/2019,Thursday,0
47428,12/6/2019,Friday,0
47429,12/7/2019,Saturday,0
47430,12/8/2019,Sunday,0
47431,12/9/2019,Monday,0
47432,12/10/2019,Tuesday,0
47433,12/11/2019,Wednesday,0
47434,12/12/2019,Thursday,0
47435,12/13/2019,Friday,0
47436,12/14/2019,Saturday,0
47437,12/15/2019,Sunday,0
47438,12/16/2019,Monday,0
47439,12/17/2019,Tuesday,0
47440,12/18/2019,Wednesday,0
47441,12/19/2019,Thursday,0
47442,12/20/2019,Friday,0
47443,12/21/2019,Saturday,0
47444,12/22/2019,Sunday,0
47445,12/23/2019,Monday,0
47446,12/24/2019,Tuesday,0
47447,12/25/2019,Wednesday,1
47448,12/26/2019,Thursday,0
47449,12/27/2019,Friday,0
47450,12/28/2019,Saturday,0
47451,12/29/2019,Sunday,0
47452,12/30/2019,Monday,0
47453,12/31/2019,Tuesday,0
47454,1/1/2020,Wednesday,1
47455,1/2/2020,Thursday,0
47456,1/3/2020,Friday,0
47457,1/4/2020,Saturday,0
47458,1/5/2020,Sunday,0
47459,1/6/2020,Monday,0
47460,1/7/2020,Tuesday,0
47461,1/8/2020,Wednesday,0
47462,1/9/2020,Thursday,0
47463,1/10/2020,Friday,0
47464,1/11/2020,Saturday,0
47465,1/12/2020,Sunday,0
47466,1/13/2020,Monday,0
47467,1/14/2020,Tuesday,0
47468,1/15/2020,Wednesday,0
47469,1/16/2020,Thursday,0
47470,1/17/2020,Friday,0
47471,1/18/2020,Saturday,0
47472,1/19/2020,Sunday,0
47473,1/20/2020,Monday,0
47474,1/21/2020,Tuesday,0
47475,1/22/2020,Wednesday,0
47476,1/23/2020,Thursday,0
47477,1/24/2020,Friday,0
47478,1/25/2020,Saturday,0
47479,1/26/2020,Sunday,0
47480,1/27/2020,Monday,0
47481,1/28/2020,Tuesday,0
47482,1/29/2020,Wednesday,0
47483,1/30/2020,Thursday,0
47484,1/31/2020,Friday,0
47485,2/1/2020,Saturday,0
47486,2/2/2020,Sunday,0
47487,2/3/2020,Monday,0
47488,2/4/2020,Tuesday,0
47489,2/5/2020,Wednesday,0
47490,2/6/2020,Thursday,0
47491,2/7/2020,Friday,0
47492,2/8/2020,Saturday,0
47493,2/9/2020,Sunday,0
47494,2/10/2020,Monday,0
47495,2/11/2020,Tuesday,0
47496,2/12/2020,Wednesday,0
47497,2/13/2020,Thursday,0
47498,2/14/2020,Friday,0
47499,2/15/2020,Saturday,0
47500,2/16/2020,Sunday,0
47501,2/17/2020,Monday,0
47502,2/18/2020,Tuesday,0
47503,2/19/2020,Wednesday,0
47504,2/20/2020,Thursday,0
47505,2/21/2020,Friday,0
47506,2/22/2020,Saturday,0
47507,2/23/2020,Sunday,0
47508,2/24/2020,Monday,0
47509,2/25/2020,Tuesday,1
47510,2/26/2020,Wednesday,0
47511,2/27/2020,Thursday,0
47512,2/28/2020,Friday,0
47513,2/29/2020,Saturday,0
47514,3/1/2020,Sunday,0
47515,3/2/2020,Monday,0
47516,3/3/2020,Tuesday,0
47517,3/4/2020,Wednesday,0
47518,3/5/2020,Thursday,0
47519,3/6/2020,Friday,0
47520,3/7/2020,Saturday,0
47521,3/8/2020,Sunday,0
47522,3/9/2020,Monday,0
47523,3/10/2020,Tuesday,0
47524,3/11/2020,Wednesday,0
47525,3/12/2020,Thursday,0
47526,3/13/2020,Friday,0
47527,3/14/2020,Saturday,0
47528,3/15/2020,Sunday,0
47529,3/16/2020,Monday,0
47530,3/17/2020,Tuesday,0
47531,3/18/2020,Wednesday,0
47532,3/19/2020,Thursday,0
47533,3/20/2020,Friday,0
47534,3/21/2020,Saturday,0
47535,3/22/2020,Sunday,0
47536,3/23/2020,Monday,0
47537,3/24/2020,Tuesday,0
47538,3/25/2020,Wednesday,0
47539,3/26/2020,Thursday,0
47540,3/27/2020,Friday,0
47541,3/28/2020,Saturday,0
